"ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","STATUS","QTR_ID","MONTH_ID","YEAR_ID","PRODUCTLINE"
10107,30,95.7,2,2871,"11/29/2021 23:00","Shipped",1,2,2003,"Motorcycles"
10121,34,81.35,5,2765.9,"11/29/2021 22:00","Shipped",2,5,2003,"Motorcycles"
10134,41,94.74,2,3884.34,"11/29/2021 21:00","Shipped",3,7,2003,"Motorcycles"
10145,45,83.26,6,3746.7,"11/29/2021 20:00","Shipped",3,8,2003,"Motorcycles"
10159,49,100,14,5205.27,"11/29/2021 19:00","Shipped",4,10,2003,"Motorcycles"
10168,36,96.66,1,3479.76,"11/29/2021 18:00","Shipped",4,10,2003,"Motorcycles"
10190,29,86.13,9,2497.77,"11/29/2021 17:00","Shipped",4,11,2003,"Motorcycles"
10198,48,100,1,5512.32,"11/29/2021 16:00","Shipped",4,11,2003,"Motorcycles"
10201,23,98.57,2,2168.54,"11/29/2021 15:00","Shipped",4,12,2003,"Motorcycles"
10210,41,100,14,4708.44,"11/29/2021 14:00","Shipped",1,1,2004,"Motorcycles"
10233,37,100,1,3965.66,"11/29/2021 13:00","Shipped",1,2,2004,"Motorcycles"
10237,23,100,7,2333.12,"11/29/2021 12:00","Shipped",2,4,2004,"Motorcycles"
10251,28,100,2,3198.64,"11/29/2021 11:00","Shipped",2,5,2004,"Motorcycles"
10263,34,100,2,3676.76,"11/29/2021 10:00 ","Shipped",2,6,2004,"Motorcycles"
10275,45,92.83,1,4177.35,"11/29/2021 09:00 ","Shipped",3,7,2004,"Motorcycles"
10285,36,100,6,4099.68,"11/29/2021 08:00 ","Shipped",3,8,2004,"Motorcycles"
10299,23,100,9,2597.39,"11/29/2021 07:00","Shipped",3,9,2004,"Motorcycles"
10309,41,100,5,4394.38,"11/29/2021 06:00 ","Shipped",4,10,2004,"Motorcycles"
10319,46,94.74,1,4358.04,"11/29/2021 05:00 ","Shipped",4,11,2004,"Motorcycles"
10329,42,100,1,4396.14,"11/29/2021 04:00 ","Shipped",4,11,2004,"Motorcycles"
10341,41,100,9,7737.93,"11/29/2021 03:00 ","Shipped",4,11,2004,"Motorcycles"
10361,20,72.55,13,1451,"11/29/2021 02:00 ","Shipped",4,12,2004,"Motorcycles"
10375,21,34.91,12,733.11,"11/29/2021 01:00 ","Shipped",1,2,2005,"Motorcycles"
10388,42,76.36,4,3207.12,"11/29/2021 00:00 ","Shipped",1,3,2005,"Motorcycles"
10403,24,100,7,2434.56,"11/29/2021 23:00","Shipped",2,4,2005,"Motorcycles"
10417,66,100,2,7516.08,"11/29/2021 22:00","Disputed",2,5,2005,"Motorcycles"
10103,26,100,11,5404.62,"11/29/2021 21:00","Shipped",1,1,2003,"Classic Cars"
10112,29,100,1,7210.11,"11/29/2021 20:00","Shipped",1,3,2003,"Classic Cars"
10126,38,100,11,7329.06,"11/29/2021 19:00","Shipped",2,5,2003,"Classic Cars"
10140,37,100,11,7374.1,"11/29/2021 18:00","Shipped",3,7,2003,"Classic Cars"
10150,45,100,8,10993.5,"11/29/2021 17:00","Shipped",3,9,2003,"Classic Cars"
10163,21,100,1,4860.24,"11/29/2021 16:00","Shipped",4,10,2003,"Classic Cars"
10174,34,100,4,8014.82,"11/29/2021 15:00","Shipped",4,11,2003,"Classic Cars"
10193,23,100,8,5372.57,"11/29/2021 14:00","Shipped",4,11,2003,"Classic Cars"
10204,42,100,11,7290.36,"11/29/2021 13:00","Shipped",4,11,2003,"Classic Cars"
10206,47,100,6,9064.89,"11/29/2021 12:00","Shipped",4,12,2003,"Classic Cars"
10215,35,100,3,6075.3,"11/29/2021 11:00","Shipped",1,1,2004,"Classic Cars"
10238,29,100,2,6463.23,"11/29/2021 10:00 ","Shipped",1,3,2004,"Classic Cars"
10245,34,100,9,6120.34,"11/29/2021 09:00 ","Shipped",2,5,2004,"Classic Cars"
10258,32,100,6,7680.64,"11/29/2021 08:00 ","Shipped",2,6,2004,"Classic Cars"
10270,21,100,9,4905.39,"11/29/2021 07:00","Shipped",3,7,2004,"Classic Cars"
10280,34,100,2,8014.82,"11/29/2021 06:00 ","Shipped",3,8,2004,"Classic Cars"
10291,37,100,11,7136.2,"11/29/2021 05:00 ","Shipped",3,9,2004,"Classic Cars"
10304,47,100,6,10172.7,"11/29/2021 04:00 ","Shipped",4,10,2004,"Classic Cars"
10312,48,100,3,11623.7,"11/29/2021 03:00 ","Shipped",4,10,2004,"Classic Cars"
10323,40,100,1,6000.4,"11/29/2021 02:00 ","Shipped",4,11,2004,"Classic Cars"
10333,26,100,3,3003,"11/29/2021 01:00 ","Shipped",4,11,2004,"Classic Cars"
10347,30,100,1,3944.7,"11/29/2021 00:00 ","Shipped",4,11,2004,"Classic Cars"
10357,32,100,10,5691.84,"11/29/2021 23:00","Shipped",4,12,2004,"Classic Cars"
10369,41,100,2,4514.92,"11/29/2021 22:00","Shipped",1,1,2005,"Classic Cars"
10381,36,100,3,8254.8,"11/29/2021 21:00","Shipped",1,2,2005,"Classic Cars"
10391,24,100,4,2416.56,"11/29/2021 20:00","Shipped",1,3,2005,"Classic Cars"
10411,23,100,9,4140.23,"11/29/2021 19:00","Shipped",2,5,2005,"Classic Cars"
10424,50,100,6,12001,"11/29/2021 18:00","In Process",2,5,2005,"Classic Cars"
10107,39,99.91,5,3896.49,"11/29/2021 17:00","Shipped",1,2,2003,"Motorcycles"
10120,29,96.34,3,2793.86,"11/29/2021 16:00","Shipped",2,4,2003,"Motorcycles"
10134,27,100,5,3307.77,"11/29/2021 15:00","Shipped",3,7,2003,"Motorcycles"
10145,37,100,9,5202.95,"11/29/2021 14:00","Shipped",3,8,2003,"Motorcycles"
10159,37,100,17,5016.83,"11/29/2021 13:00","Shipped",4,10,2003,"Motorcycles"
10168,27,100,4,3660.93,"11/29/2021 12:00","Shipped",4,10,2003,"Motorcycles"
10190,42,100,12,4695.6,"11/29/2021 11:00","Shipped",4,11,2003,"Motorcycles"
10198,38,96.34,4,3660.92,"11/29/2021 10:00 ","Shipped",4,11,2003,"Motorcycles"
10201,24,100,5,3025.92,"11/29/2021 09:00 ","Shipped",4,12,2003,"Motorcycles"
10210,23,100,2,3009.09,"11/29/2021 08:00 ","Shipped",1,1,2004,"Motorcycles"
10233,47,100,4,5423.39,"11/29/2021 07:00","Shipped",1,2,2004,"Motorcycles"
10236,23,100,1,2852.08,"11/29/2021 06:00 ","Shipped",2,4,2004,"Motorcycles"
10251,44,100,5,5756.52,"11/29/2021 05:00 ","Shipped",2,5,2004,"Motorcycles"
10263,40,100,5,4472,"11/29/2021 04:00 ","Shipped",2,6,2004,"Motorcycles"
10275,23,100,4,2904.44,"11/29/2021 03:00 ","Shipped",3,7,2004,"Motorcycles"
10285,47,100,9,6484.59,"11/29/2021 02:00 ","Shipped",3,8,2004,"Motorcycles"
10298,39,96.34,1,3757.26,"11/29/2021 01:00 ","Shipped",3,9,2004,"Motorcycles"
10308,34,100,2,4043.96,"11/29/2021 00:00 ","Shipped",4,10,2004,"Motorcycles"
10319,45,100,4,5566.5,"11/29/2021 23:00","Shipped",4,11,2004,"Motorcycles"
10329,20,100,2,3176,"11/29/2021 22:00","Shipped",4,11,2004,"Motorcycles"
10339,40,68.92,4,2756.8,"11/29/2021 21:00","Shipped",4,11,2004,"Motorcycles"
10361,26,51.15,8,1329.9,"11/29/2021 20:00","Shipped",4,12,2004,"Motorcycles"
10374,39,100,5,5288.01,"11/29/2021 19:00","Shipped",1,2,2005,"Motorcycles"
10388,50,44.51,5,2325.5,"11/29/2021 18:00","Shipped",1,3,2005,"Motorcycles"
10402,45,100,1,5833.8,"11/29/2021 17:00","Shipped",2,4,2005,"Motorcycles"
